Distance: 296.500000, Angle: 357.453125 --- diff is 357.453125
Distance: 339.500000, Angle: 119.515625 --- diff is -237.937500
Distance: 344.250000, Angle: 120.750000 --- diff is 1.234375
Distance: 0.000000, Angle: 125.968750 --- diff is 5.218750
Distance: 0.000000, Angle: 127.343750 --- diff is 1.375000
Distance: 0.000000, Angle: 128.734375 --- diff is 1.390625
Distance: 0.000000, Angle: 130.109375 --- diff is 1.375000
Distance: 0.000000, Angle: 131.500000 --- diff is 1.390625
Distance: 3620.000000, Angle: 125.265625 --- diff is -6.234375
Distance: 0.000000, Angle: 134.265625 --- diff is 9.000000
Distance: 0.000000, Angle: 135.640625 --- diff is 1.375000
Distance: 0.000000, Angle: 137.031250 --- diff is 1.390625
Distance: 0.000000, Angle: 138.468750 --- diff is 1.437500
Distance: 0.000000, Angle: 139.859375 --- diff is 1.390625
Distance: 0.000000, Angle: 141.250000 --- diff is 1.390625
Distance: 0.000000, Angle: 142.640625 --- diff is 1.390625
Distance: 0.000000, Angle: 144.015625 --- diff is 1.375000
Distance: 0.000000, Angle: 145.406250 --- diff is 1.390625
Distance: 0.000000, Angle: 146.796875 --- diff is 1.390625
Distance: 0.000000, Angle: 148.187500 --- diff is 1.390625
Distance: 0.000000, Angle: 149.562500 --- diff is 1.375000
Distance: 0.000000, Angle: 150.953125 --- diff is 1.390625
Distance: 0.000000, Angle: 152.328125 --- diff is 1.375000
Distance: 0.000000, Angle: 153.718750 --- diff is 1.390625
Distance: 0.000000, Angle: 155.109375 --- diff is 1.390625
Distance: 0.000000, Angle: 156.500000 --- diff is 1.390625
Distance: 0.000000, Angle: 157.875000 --- diff is 1.375000
Distance: 0.000000, Angle: 159.265625 --- diff is 1.390625
Distance: 0.000000, Angle: 160.640625 --- diff is 1.375000
Distance: 0.000000, Angle: 162.312500 --- diff is 1.671875
Distance: 0.000000, Angle: 163.703125 --- diff is 1.390625
Distance: 0.000000, Angle: 165.093750 --- diff is 1.390625
Distance: 0.000000, Angle: 166.500000 --- diff is 1.406250
Distance: 0.000000, Angle: 167.906250 --- diff is 1.406250
Distance: 0.000000, Angle: 169.296875 --- diff is 1.390625
Distance: 266.750000, Angle: 169.125000 --- diff is -0.171875
Distance: 266.000000, Angle: 170.031250 --- diff is 0.906250
Distance: 0.000000, Angle: 173.515625 --- diff is 3.484375
Distance: 0.000000, Angle: 174.906250 --- diff is 1.390625
Distance: 3600.000000, Angle: 168.718750 --- diff is -6.187500
Distance: 3713.500000, Angle: 170.078125 --- diff is 1.359375
Distance: 0.000000, Angle: 179.109375 --- diff is 9.031250
Distance: 4044.500000, Angle: 172.859375 --- diff is -6.250000
Distance: 4247.250000, Angle: 174.250000 --- diff is 1.390625
Distance: 5226.000000, Angle: 175.593750 --- diff is 1.343750
Distance: 5444.250000, Angle: 177.000000 --- diff is 1.406250
Distance: 0.000000, Angle: 186.156250 --- diff is 9.156250
Distance: 3034.750000, Angle: 180.031250 --- diff is -6.125000
Distance: 0.000000, Angle: 188.953125 --- diff is 8.921875
Distance: 3009.000000, Angle: 182.828125 --- diff is -6.125000
Distance: 2997.750000, Angle: 184.250000 --- diff is 1.421875
Distance: 181.000000, Angle: 192.921875 --- diff is 8.671875
Distance: 180.000000, Angle: 194.328125 --- diff is 1.406250
Distance: 182.750000, Angle: 195.718750 --- diff is 1.390625
Distance: 183.500000, Angle: 197.140625 --- diff is 1.421875
Distance: 172.000000, Angle: 199.031250 --- diff is 1.890625
Distance: 173.000000, Angle: 199.937500 --- diff is 0.906250
Distance: 175.250000, Angle: 201.343750 --- diff is 1.406250
Distance: 178.500000, Angle: 202.734375 --- diff is 1.390625
Distance: 182.000000, Angle: 204.140625 --- diff is 1.406250
Distance: 185.000000, Angle: 205.546875 --- diff is 1.406250
Distance: 188.500000, Angle: 206.937500 --- diff is 1.390625
Distance: 174.500000, Angle: 208.343750 --- diff is 1.406250
Distance: 177.000000, Angle: 209.984375 --- diff is 1.640625
Distance: 180.500000, Angle: 211.390625 --- diff is 1.406250
Distance: 0.000000, Angle: 213.062500 --- diff is 1.671875
Distance: 0.000000, Angle: 214.468750 --- diff is 1.406250
Distance: 0.000000, Angle: 215.890625 --- diff is 1.421875
Distance: 0.000000, Angle: 217.296875 --- diff is 1.406250
Distance: 0.000000, Angle: 218.718750 --- diff is 1.421875
Distance: 223.750000, Angle: 219.875000 --- diff is 1.156250
Distance: 226.250000, Angle: 220.265625 --- diff is 0.390625
Distance: 0.000000, Angle: 222.953125 --- diff is 2.687500
Distance: 0.000000, Angle: 224.375000 --- diff is 1.421875
Distance: 0.000000, Angle: 225.781250 --- diff is 1.406250
Distance: 539.500000, Angle: 222.015625 --- diff is -3.765625
Distance: 522.500000, Angle: 223.562500 --- diff is 1.546875
Distance: 523.250000, Angle: 224.875000 --- diff is 1.312500
Distance: 527.250000, Angle: 226.359375 --- diff is 1.484375
Distance: 0.000000, Angle: 232.859375 --- diff is 6.500000
Distance: 0.000000, Angle: 234.265625 --- diff is 1.406250
Distance: 0.000000, Angle: 235.671875 --- diff is 1.406250
Distance: 0.000000, Angle: 237.093750 --- diff is 1.421875
Distance: 0.000000, Angle: 238.515625 --- diff is 1.421875
Distance: 0.000000, Angle: 239.921875 --- diff is 1.406250
Distance: 0.000000, Angle: 241.343750 --- diff is 1.421875
Distance: 0.000000, Angle: 242.750000 --- diff is 1.406250
Distance: 0.000000, Angle: 244.156250 --- diff is 1.406250
Distance: 0.000000, Angle: 245.578125 --- diff is 1.421875
Distance: 0.000000, Angle: 246.984375 --- diff is 1.406250
Distance: 0.000000, Angle: 248.406250 --- diff is 1.421875
Distance: 0.000000, Angle: 249.812500 --- diff is 1.406250
Distance: 0.000000, Angle: 251.234375 --- diff is 1.421875
Distance: 0.000000, Angle: 252.656250 --- diff is 1.421875
Distance: 0.000000, Angle: 254.062500 --- diff is 1.406250
Distance: 0.000000, Angle: 255.484375 --- diff is 1.421875
Distance: 0.000000, Angle: 256.890625 --- diff is 1.406250
Distance: 0.000000, Angle: 258.312500 --- diff is 1.421875
Distance: 0.000000, Angle: 259.718750 --- diff is 1.406250
Distance: 0.000000, Angle: 261.140625 --- diff is 1.421875
Distance: 0.000000, Angle: 262.546875 --- diff is 1.406250
